base_step_scale,fov_schedule,ks,ks_from_visibility,ks_mode,ks_transition_deg,max_step_deg,min_step_deg,step_norm_mode,trajectory_jacobian_step,visibility_alpha_deg,te,re,vis_improvement
2.684298597558329,"60,30,15",40.93328581559948,True,map,15.9,3.817233395605472,1.8530331771287003,points,0.14160241287276426,15.0,0.3394632493949978,6.236175704290625,
2.6592784791660717,"60,30,15",40.93328581559948,True,map,15.9,3.7571113087300274,1.883325430679841,points,0.13672388108767802,15.0,0.3349178875247237,6.0134852690540574,
2.4188430574638184,"180,90,30,15",71.0,False,const71,,3.4906186208720875,1.9942627408259366,jacobian,0.10756027950366799,,0.37817427985737423,7.324698083249127,
2.7761654774846223,"45,30,15",15.0,False,const15,,3.1325103425892262,1.8080101385176341,points,0.1700574512554433,,0.34250376988032816,6.396898774428198,
2.530537214172853,15,40.93328581559948,True,map,15.9,3.7428160330188245,1.685589849792978,points,0.07140674853308975,15.0,0.3521543039456648,6.5877349558540255,
1.2492709673265499,"90,60,30, 15",20.0,False,const20,,2.8382343904528002,0.24983813043391656,jacobian,0.09903046234433804,,0.33681911400199993,6.1983125396360075,
1.8764554677809966,"60,30,15",40.93328581559948,True,map,15.9,1.9064611427336096,0.1338031945137148,points,0.14052875925054953,15.0,0.3535328485846544,6.822195440036827,
1.2463867172156142,"90,60,30, 15",20.0,False,const20,,2.7948753215133264,0.30948097560238613,jacobian,0.09634581484735363,,0.34849794357270575,6.502212757974038,
1.1408060921331933,"90,60,30, 15",20.0,False,const20,,3.0087697614585376,0.38558662687107786,jacobian,0.10653954509446488,,0.3490248451505211,6.539072460401699,
1.6368730057349339,"90,60,30, 15",20.0,False,const20,,2.606999755219917,0.9247693631737627,jacobian,0.0815021360600536,,0.34813137890609724,6.582046262151365,
1.2911590139505043,"90,60,30, 15",20.0,False,const20,,3.175554939968205,1.8738681936256643,jacobian,0.1238297381987054,,0.3432311894998934,6.286154150228963,
2.8239104526828482,"90,60,30, 15",20.0,False,const20,,3.430256488414806,0.4785156907656508,jacobian,0.15648747121946824,,0.3432605728949662,6.352800753726555,
